Doc Id,Sentence Id,Event Id,Aspect,End Offset,Event Class,Is Event,Lemma Stanford,Lowercase Lemma Stanford,Lowercase Token,POS Tag Stanford,Polarity,Pos,Start Offset,Tense,Token,Token Id Doc,Token Id Sent,Token POS,Lemma POS
APW19990410.0123,4,e13,NONE,11,B-STATE,1,be,be,`s,VBZ,NEG,VB,9,PRESENT,`s,89,4,`s-VB,be-VB
APW19990410.0123,10,e33,NONE,66,B-OCCURRENCE,1,abandon,abandon,abandoned,VBN,POS,VB,57,NONE,abandoned,224,12,abandoned-VB,abandon-VB
APW19990506.0155,16,e59,NONE,122,B-OCCURRENCE,1,abandon,abandon,abandoned,VBN,POS,VB,113,NONE,abandoned,386,21,abandoned-VB,abandon-VB
APW19990507.0207,15,e45,NONE,105,B-STATE,1,abandon,abandon,abandoned,VBN,POS,VB,96,NONE,abandoned,331,19,abandoned-VB,abandon-VB
PRI19980205.2000.1998,6,e25,PERFECTIVE,80,B-ASPECTUAL,1,abandon,abandon,abandoned,VBN,POS,VB,71,PRESENT,abandoned,114,14,abandoned-VB,abandon-VB
WSJ910225-0066,56,e342,NONE,149,B-STATE,1,abandon,abandon,abandoned,VBN,POS,VB,140,NONE,abandoned,1614,25,abandoned-VB,abandon-VB
wsj_0321,1,e12,PROGRESSIVE,38,B-ASPECTUAL,1,abandon,abandon,abandoning,VBG,NEG,VB,28,PRESENT,abandoning,51,6,abandoning-VB,abandon-VB
APW19980219.0476,2,e148,NONE,86,B-OCCURRENCE,1,abducted,abducted,abducted,NN,POS,NN,78,PAST,abducted,102,14,abducted-NN,abducted-NN
APW19980219.0476,10,e56,NONE,232,B-OCCURRENCE,1,abduction,abduction,abduction,NN,POS,NN,223,NONE,abduction,322,37,abduction-NN,abduction-NN
VOA19980303.1600.2745,17,e124,NONE,134,B-I_STATE,1,ability,ability,ability,NN,POS,NN,127,NONE,ability,476,25,ability-NN,ability-NN
ABC19980120.1830.0957,11,e100,NONE,77,B-I_STATE,1,able,able,able,JJ,POS,JJ,73,INFINITIVE,able,185,15,able-JJ,able-JJ
APW19990410.0123,4,e14,NONE,51,B-I_STATE,1,able,able,able,JJ,POS,JJ,47,NONE,able,98,13,able-JJ,able-JJ
VOA19980305.1800.2603,21,e352,NONE,35,B-I_STATE,1,able,able,able,JJ,POS,JJ,31,NONE,able,385,7,able-JJ,able-JJ
wsj_0583,19,e224,PERFECTIVE,32,B-I_STATE,1,able,able,able,JJ,NEG,JJ,28,PRESENT,able,555,7,able-JJ,able-JJ
APW19990607.0041,4,e20,NONE,225,B-OCCURRENCE,1,abortion,abortion,abortions,NNS,POS,NN,216,NONE,abortions,157,42,abortions-NN,abortion-NN
PRI19980213.2000.0313,2,e8,NONE,56,B-OCCURRENCE,1,absorb,absorb,absorb,VB,POS,VB,50,PRESENT,absorb,36,11,absorb-VB,absorb-VB
NYT20000224.0173,16,e150,NONE,67,B-OCCURRENCE,1,abuse,abuse,abuse,NN,NEG,NN,62,NONE,abuse,427,11,abuse-NN,abuse-NN
APW20000417.0031,23,e145,NONE,71,B-OCCURRENCE,1,abuse,abuse,abused,VBD,NEG,VB,65,PAST,abused,578,10,abused-VB,abuse-VB
APW20000417.0031,16,e48,NONE,27,B-OCCURRENCE,1,abuse,abuse,abusing,VBG,NEG,VB,20,PRESPART,abusing,440,6,abusing-VB,abuse-VB
XIE19990313.0173,4,e21,NONE,60,B-OCCURRENCE,1,accede,accede,accede,VB,POS,VB,54,INFINITIVE,accede,147,10,accede-VB,accede-VB
wsj_1013,21,e97,NONE,32,B-OCCURRENCE,1,accelerate,accelerate,accelerated,VBD,POS,VB,21,PAST,accelerated,559,5,accelerated-VB,accelerate-VB
AP900815-0044,11,e75,NONE,25,B-I_ACTION,1,accept,accept,accept,VB,POS,VB,19,INFINITIVE,accept,312,4,accept-VB,accept-VB
APW19990312.0251,9,e24,NONE,76,B-OCCURRENCE,1,accept,accept,accept,VBP,POS,VB,70,PRESENT,accept,201,16,accept-VB,accept-VB
NYT19990312.0271,44,e194,NONE,85,B-OCCURRENCE,1,accept,accept,accept,VB,POS,VB,79,PRESENT,accept,1377,18,accept-VB,accept-VB
wsj_0584,37,e187,NONE,123,B-I_ACTION,1,accept,accept,accept,VB,POS,VB,117,INFINITIVE,accept,867,18,accept-VB,accept-VB
wsj_0768,36,e155,NONE,31,B-I_ACTION,1,accept,accept,accept,VB,POS,VB,25,INFINITIVE,accept,907,6,accept-VB,accept-VB
APW19990312.0251,1,e4,NONE,46,B-OCCURRENCE,1,accept,accept,accepted,VBD,POS,VB,38,PAST,accepted,49,6,accepted-VB,accept-VB
wsj_0332,1,e8,PERFECTIVE,89,B-I_ACTION,1,accept,accept,accepted,VBN,POS,VB,81,PRESENT,accepted,65,18,accepted-VB,accept-VB
XIE19981203.0008,1,e3,PERFECTIVE,58,B-OCCURRENCE,1,accept,accept,accepted,VBN,POS,VB,50,PRESENT,accepted,34,10,accepted-VB,accept-VB
XIE19990313.0229,6,e20,NONE,51,B-OCCURRENCE,1,accept,accept,accepted,VBD,POS,VB,43,PAST,accepted,178,7,accepted-VB,accept-VB
wsj_0815,3,e22,NONE,164,B-I_ACTION,1,accept,accept,accepting,VBG,NEG,VB,155,NONE,accepting,98,29,accepting-VB,accept-VB
APW19990216.0198,0,e4,NONE,215,B-OCCURRENCE,1,accession,accession,accession,NN,POS,NN,206,NONE,accession,38,38,accession-NN,accession-NN
APW19990312.0251,22,e60,NONE,60,B-OCCURRENCE,1,accession,accession,accession,NN,POS,NN,51,NONE,accession,571,10,accession-NN,accession-NN
NYT19990312.0271,28,e134,NONE,9,B-OCCURRENCE,1,Accession,accession,accession,NNP,POS,NN,0,NONE,Accession,930,1,accession-NN,accession-NN
