tp,tn,fp,fn,p,r,a,f1
153,230,62,12,0.7116279069767442,0.9272727272727272,0.838074398249453,0.8052631578947369
154,237,55,11,0.7368421052631579,0.9333333333333333,0.8555798687089715,0.8235294117647058
153,227,65,12,0.7018348623853211,0.9272727272727272,0.8315098468271335,0.7989556135770235
154,234,58,11,0.7264150943396226,0.9333333333333333,0.849015317286652,0.8169761273209549
156,233,59,9,0.7255813953488373,0.9454545454545454,0.8512035010940919,0.8210526315789475
150,232,60,15,0.7142857142857143,0.9090909090909091,0.8358862144420132,0.8
154,236,56,11,0.7333333333333333,0.9333333333333333,0.8533916849015317,0.8213333333333334
154,232,60,11,0.719626168224299,0.9333333333333333,0.8446389496717724,0.8126649076517151
155,233,59,10,0.7242990654205608,0.9393939393939394,0.849015317286652,0.8179419525065963
152,236,56,13,0.7307692307692307,0.9212121212121213,0.849015317286652,0.8150134048257373
150,236,56,15,0.7281553398058253,0.9090909090909091,0.8446389496717724,0.8086253369272237
155,226,66,10,0.7013574660633484,0.9393939393939394,0.8336980306345733,0.8031088082901554
151,237,55,14,0.7330097087378641,0.9151515151515152,0.849015317286652,0.8140161725067385
153,238,54,12,0.7391304347826086,0.9272727272727272,0.8555798687089715,0.8225806451612903
147,239,53,18,0.735,0.8909090909090909,0.8446389496717724,0.8054794520547944
153,232,60,12,0.7183098591549296,0.9272727272727272,0.8424507658643327,0.8095238095238096
152,236,56,13,0.7307692307692307,0.9212121212121213,0.849015317286652,0.8150134048257373
150,237,55,15,0.7317073170731707,0.9090909090909091,0.8468271334792122,0.8108108108108109
153,232,60,12,0.7183098591549296,0.9272727272727272,0.8424507658643327,0.8095238095238096
151,232,60,14,0.7156398104265402,0.9151515151515152,0.838074398249453,0.803191489361702
148,236,56,17,0.7254901960784313,0.896969696969697,0.8402625820568927,0.8021680216802167
153,234,58,12,0.7251184834123223,0.9272727272727272,0.8468271334792122,0.8138297872340425
152,237,55,13,0.7342995169082126,0.9212121212121213,0.8512035010940919,0.8172043010752689
151,235,57,14,0.7259615384615384,0.9151515151515152,0.8446389496717724,0.8096514745308311
154,233,59,11,0.7230046948356808,0.9333333333333333,0.8468271334792122,0.8148148148148148
153,236,56,12,0.7320574162679426,0.9272727272727272,0.8512035010940919,0.8181818181818182
153,241,51,12,0.75,0.9272727272727272,0.862144420131291,0.8292682926829268
152,238,54,13,0.7378640776699029,0.9212121212121213,0.8533916849015317,0.8194070080862533
155,234,58,10,0.7276995305164319,0.9393939393939394,0.8512035010940919,0.82010582010582
152,231,61,13,0.7136150234741784,0.9212121212121213,0.838074398249453,0.8042328042328043
152,238,54,13,0.7378640776699029,0.9212121212121213,0.8533916849015317,0.8194070080862533
