tp,tn,fp,fn,p,r,a,f1
43,93,14,15,0.7543859649122807,0.7413793103448276,0.8242424242424242,0.7478260869565219
44,88,19,14,0.6984126984126984,0.7586206896551724,0.8,0.7272727272727273
43,91,16,15,0.7288135593220338,0.7413793103448276,0.8121212121212121,0.735042735042735
42,93,14,16,0.75,0.7241379310344828,0.8181818181818182,0.736842105263158
44,90,17,14,0.7213114754098361,0.7586206896551724,0.8121212121212121,0.7394957983193277
42,91,16,16,0.7241379310344828,0.7241379310344828,0.806060606060606,0.7241379310344829
43,94,13,15,0.7678571428571429,0.7413793103448276,0.8303030303030303,0.7543859649122806
46,89,18,12,0.71875,0.7931034482758621,0.8181818181818182,0.7540983606557378
44,93,14,14,0.7586206896551724,0.7586206896551724,0.8303030303030303,0.7586206896551724
41,90,17,17,0.7068965517241379,0.7068965517241379,0.793939393939394,0.7068965517241379
42,93,14,16,0.75,0.7241379310344828,0.8181818181818182,0.736842105263158
44,90,17,14,0.7213114754098361,0.7586206896551724,0.8121212121212121,0.7394957983193277
48,88,19,10,0.7164179104477612,0.8275862068965517,0.8242424242424242,0.768
45,93,14,13,0.7627118644067796,0.7758620689655172,0.8363636363636363,0.7692307692307694
44,94,13,14,0.7719298245614035,0.7586206896551724,0.8363636363636363,0.7652173913043477
42,90,17,16,0.711864406779661,0.7241379310344828,0.8,0.717948717948718
43,96,11,15,0.7962962962962963,0.7413793103448276,0.8424242424242424,0.7678571428571429
45,91,16,13,0.7377049180327869,0.7758620689655172,0.8242424242424242,0.7563025210084033
43,94,13,15,0.7678571428571429,0.7413793103448276,0.8303030303030303,0.7543859649122806
45,91,16,13,0.7377049180327869,0.7758620689655172,0.8242424242424242,0.7563025210084033
43,90,17,15,0.7166666666666667,0.7413793103448276,0.806060606060606,0.728813559322034
44,90,17,14,0.7213114754098361,0.7586206896551724,0.8121212121212121,0.7394957983193277
39,92,15,19,0.7222222222222222,0.6724137931034483,0.793939393939394,0.6964285714285714
43,93,14,15,0.7543859649122807,0.7413793103448276,0.8242424242424242,0.7478260869565219
42,94,13,16,0.7636363636363637,0.7241379310344828,0.8242424242424242,0.7433628318584072
45,87,20,13,0.6923076923076923,0.7758620689655172,0.8,0.7317073170731708
45,89,18,13,0.7142857142857143,0.7758620689655172,0.8121212121212121,0.7438016528925621
42,92,15,16,0.7368421052631579,0.7241379310344828,0.8121212121212121,0.7304347826086957
45,88,19,13,0.703125,0.7758620689655172,0.806060606060606,0.7377049180327868
43,93,14,15,0.7543859649122807,0.7413793103448276,0.8242424242424242,0.7478260869565219
43,91,16,15,0.7288135593220338,0.7413793103448276,0.8121212121212121,0.735042735042735
43,91,16,15,0.7288135593220338,0.7413793103448276,0.8121212121212121,0.735042735042735
42,91,16,16,0.7241379310344828,0.7241379310344828,0.806060606060606,0.7241379310344829
43,93,14,15,0.7543859649122807,0.7413793103448276,0.8242424242424242,0.7478260869565219
44,93,14,14,0.7586206896551724,0.7586206896551724,0.8303030303030303,0.7586206896551724
46,93,14,12,0.7666666666666667,0.7931034482758621,0.8424242424242424,0.7796610169491527
45,93,14,13,0.7627118644067796,0.7758620689655172,0.8363636363636363,0.7692307692307694
43,97,10,15,0.8113207547169812,0.7413793103448276,0.8484848484848485,0.7747747747747747
46,89,18,12,0.71875,0.7931034482758621,0.8181818181818182,0.7540983606557378
