duration,input.all_runs_events,input.doc_id,input.lowercase_sentence,input.sentence,input.sentence_id,job,output.selectedtags_desc,output.selectedtags_desc.annotations,output.selectedtags_desc.unique_annotations,worker,uqs,unit_annotation_score,uqs_initial,unit_annotation_score_initial,validated_event,no_of_annotations,validated_event_final_score,validated_event_initial_score,Experts
41.15,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france s richest woman , to get funds for his 2007 presidential campaign 0","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1321546_events_nomotivation,"Counter({'abused__113__119': 15, 'informed__37__45': 13, 'investigation__83__96': 12, 'face__69__73': 10, 'get__230__233': 10, 'campaign__266__274': 8})",68,6,20,0.6033885610248365,"Counter({'abused__113__119': 0.7704081543119529, 'informed__37__45': 0.7402522479774012, 'investigation__83__96': 0.6775325704230343, 'face__69__73': 0.5916161409010438, 'get__230__233': 0.522528546183845, 'campaign__266__274': 0.4743584823866671})",0.5468069037760867,"Counter({'abused__113__119': 0.75, 'informed__37__45': 0.65, 'investigation__83__96': 0.6, 'face__69__73': 0.5, 'get__230__233': 0.5, 'campaign__266__274': 0.4})",informed__37__45,13,0.7402522479774012,0.65,1.0
41.15,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france s richest woman , to get funds for his 2007 presidential campaign 0","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1321546_events_nomotivation,"Counter({'abused__113__119': 15, 'informed__37__45': 13, 'investigation__83__96': 12, 'face__69__73': 10, 'get__230__233': 10, 'campaign__266__274': 8})",68,6,20,0.6033885610248365,"Counter({'abused__113__119': 0.7704081543119529, 'informed__37__45': 0.7402522479774012, 'investigation__83__96': 0.6775325704230343, 'face__69__73': 0.5916161409010438, 'get__230__233': 0.522528546183845, 'campaign__266__274': 0.4743584823866671})",0.5468069037760867,"Counter({'abused__113__119': 0.75, 'informed__37__45': 0.65, 'investigation__83__96': 0.6, 'face__69__73': 0.5, 'get__230__233': 0.5, 'campaign__266__274': 0.4})",face__69__73,10,0.5916161409010438,0.5,1.0
41.15,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france s richest woman , to get funds for his 2007 presidential campaign 0","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1321546_events_nomotivation,"Counter({'abused__113__119': 15, 'informed__37__45': 13, 'investigation__83__96': 12, 'face__69__73': 10, 'get__230__233': 10, 'campaign__266__274': 8})",68,6,20,0.6033885610248365,"Counter({'abused__113__119': 0.7704081543119529, 'informed__37__45': 0.7402522479774012, 'investigation__83__96': 0.6775325704230343, 'face__69__73': 0.5916161409010438, 'get__230__233': 0.522528546183845, 'campaign__266__274': 0.4743584823866671})",0.5468069037760867,"Counter({'abused__113__119': 0.75, 'informed__37__45': 0.65, 'investigation__83__96': 0.6, 'face__69__73': 0.5, 'get__230__233': 0.5, 'campaign__266__274': 0.4})",investigation__83__96,12,0.6775325704230343,0.6,1.0
41.15,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france s richest woman , to get funds for his 2007 presidential campaign 0","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1321546_events_nomotivation,"Counter({'abused__113__119': 15, 'informed__37__45': 13, 'investigation__83__96': 12, 'face__69__73': 10, 'get__230__233': 10, 'campaign__266__274': 8})",68,6,20,0.6033885610248365,"Counter({'abused__113__119': 0.7704081543119529, 'informed__37__45': 0.7402522479774012, 'investigation__83__96': 0.6775325704230343, 'face__69__73': 0.5916161409010438, 'get__230__233': 0.522528546183845, 'campaign__266__274': 0.4743584823866671})",0.5468069037760867,"Counter({'abused__113__119': 0.75, 'informed__37__45': 0.65, 'investigation__83__96': 0.6, 'face__69__73': 0.5, 'get__230__233': 0.5, 'campaign__266__274': 0.4})",abused__113__119,15,0.7704081543119529,0.75,1.0
41.15,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france s richest woman , to get funds for his 2007 presidential campaign 0","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1321546_events_nomotivation,"Counter({'abused__113__119': 15, 'informed__37__45': 13, 'investigation__83__96': 12, 'face__69__73': 10, 'get__230__233': 10, 'campaign__266__274': 8})",68,6,20,0.6033885610248365,"Counter({'abused__113__119': 0.7704081543119529, 'informed__37__45': 0.7402522479774012, 'investigation__83__96': 0.6775325704230343, 'face__69__73': 0.5916161409010438, 'get__230__233': 0.522528546183845, 'campaign__266__274': 0.4743584823866671})",0.5468069037760867,"Counter({'abused__113__119': 0.75, 'informed__37__45': 0.65, 'investigation__83__96': 0.6, 'face__69__73': 0.5, 'get__230__233': 0.5, 'campaign__266__274': 0.4})",get__230__233,10,0.5225285461838449,0.5,1.0
41.15,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france s richest woman , to get funds for his 2007 presidential campaign 0","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1321546_events_nomotivation,"Counter({'abused__113__119': 15, 'informed__37__45': 13, 'investigation__83__96': 12, 'face__69__73': 10, 'get__230__233': 10, 'campaign__266__274': 8})",68,6,20,0.6033885610248365,"Counter({'abused__113__119': 0.7704081543119529, 'informed__37__45': 0.7402522479774012, 'investigation__83__96': 0.6775325704230343, 'face__69__73': 0.5916161409010438, 'get__230__233': 0.522528546183845, 'campaign__266__274': 0.4743584823866671})",0.5468069037760867,"Counter({'abused__113__119': 0.75, 'informed__37__45': 0.65, 'investigation__83__96': 0.6, 'face__69__73': 0.5, 'get__230__233': 0.5, 'campaign__266__274': 0.4})",campaign__266__274,8,0.4743584823866671,0.4,1.0
41.15,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france s richest woman , to get funds for his 2007 presidential campaign 0","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1321546_events_nomotivation,"Counter({'abused__113__119': 15, 'informed__37__45': 13, 'investigation__83__96': 12, 'face__69__73': 10, 'get__230__233': 10, 'campaign__266__274': 8})",68,6,20,0.6033885610248365,"Counter({'abused__113__119': 0.7704081543119529, 'informed__37__45': 0.7402522479774012, 'investigation__83__96': 0.6775325704230343, 'face__69__73': 0.5916161409010438, 'get__230__233': 0.522528546183845, 'campaign__266__274': 0.4743584823866671})",0.5468069037760867,"Counter({'abused__113__119': 0.75, 'informed__37__45': 0.65, 'investigation__83__96': 0.6, 'face__69__73': 0.5, 'get__230__233': 0.5, 'campaign__266__274': 0.4})",no_event,0,0.0,0.0,0.0
40.85,denied__16__22###accepting__23__32###alleged__159__166###campaign__41__49###denied accepting__16__32,nyt_20130321_sarkozy,"mr. sarkozy has denied accepting illegal campaign funds from ms. bettencourt , either personally or through his party treasurer at the time , eric woerth , as alleged by her former butler 0","Mr. Sarkozy has denied accepting illegal campaign funds from Ms. Bettencourt , either personally or through his party treasurer at the time , Eric Woerth , as alleged by her former butler .",1,../../data/pilot_crowd_data/raw_data/f1321546_events_nomotivation,"Counter({'alleged__159__166': 10, 'accepting__23__32': 10, 'denied__16__22': 8, 'denied accepting__16__32': 7, 'campaign__41__49': 6})",41,5,20,0.4025610419933526,"Counter({'alleged__159__166': 0.5230248768771578, 'accepting__23__32': 0.5190636387537296, 'denied__16__22': 0.45070980605644123, 'denied accepting__16__32': 0.4211389207745029, 'campaign__41__49': 0.3294349263478444})",0.3741525673035236,"Counter({'alleged__159__166': 0.5, 'accepting__23__32': 0.5, 'denied__16__22': 0.4, 'denied accepting__16__32': 0.35, 'campaign__41__49': 0.3})",denied__16__22,8,0.4507098060564412,0.4,1.0
40.85,denied__16__22###accepting__23__32###alleged__159__166###campaign__41__49###denied accepting__16__32,nyt_20130321_sarkozy,"mr. sarkozy has denied accepting illegal campaign funds from ms. bettencourt , either personally or through his party treasurer at the time , eric woerth , as alleged by her former butler 0","Mr. Sarkozy has denied accepting illegal campaign funds from Ms. Bettencourt , either personally or through his party treasurer at the time , Eric Woerth , as alleged by her former butler .",1,../../data/pilot_crowd_data/raw_data/f1321546_events_nomotivation,"Counter({'alleged__159__166': 10, 'accepting__23__32': 10, 'denied__16__22': 8, 'denied accepting__16__32': 7, 'campaign__41__49': 6})",41,5,20,0.4025610419933526,"Counter({'alleged__159__166': 0.5230248768771578, 'accepting__23__32': 0.5190636387537296, 'denied__16__22': 0.45070980605644123, 'denied accepting__16__32': 0.4211389207745029, 'campaign__41__49': 0.3294349263478444})",0.3741525673035236,"Counter({'alleged__159__166': 0.5, 'accepting__23__32': 0.5, 'denied__16__22': 0.4, 'denied accepting__16__32': 0.35, 'campaign__41__49': 0.3})",accepting__23__32,10,0.5190636387537296,0.5,1.0
40.85,denied__16__22###accepting__23__32###alleged__159__166###campaign__41__49###denied accepting__16__32,nyt_20130321_sarkozy,"mr. sarkozy has denied accepting illegal campaign funds from ms. bettencourt , either personally or through his party treasurer at the time , eric woerth , as alleged by her former butler 0","Mr. Sarkozy has denied accepting illegal campaign funds from Ms. Bettencourt , either personally or through his party treasurer at the time , Eric Woerth , as alleged by her former butler .",1,../../data/pilot_crowd_data/raw_data/f1321546_events_nomotivation,"Counter({'alleged__159__166': 10, 'accepting__23__32': 10, 'denied__16__22': 8, 'denied accepting__16__32': 7, 'campaign__41__49': 6})",41,5,20,0.4025610419933526,"Counter({'alleged__159__166': 0.5230248768771578, 'accepting__23__32': 0.5190636387537296, 'denied__16__22': 0.45070980605644123, 'denied accepting__16__32': 0.4211389207745029, 'campaign__41__49': 0.3294349263478444})",0.3741525673035236,"Counter({'alleged__159__166': 0.5, 'accepting__23__32': 0.5, 'denied__16__22': 0.4, 'denied accepting__16__32': 0.35, 'campaign__41__49': 0.3})",alleged__159__166,10,0.5230248768771578,0.5,1.0
40.85,denied__16__22###accepting__23__32###alleged__159__166###campaign__41__49###denied accepting__16__32,nyt_20130321_sarkozy,"mr. sarkozy has denied accepting illegal campaign funds from ms. bettencourt , either personally or through his party treasurer at the time , eric woerth , as alleged by her former butler 0","Mr. Sarkozy has denied accepting illegal campaign funds from Ms. Bettencourt , either personally or through his party treasurer at the time , Eric Woerth , as alleged by her former butler .",1,../../data/pilot_crowd_data/raw_data/f1321546_events_nomotivation,"Counter({'alleged__159__166': 10, 'accepting__23__32': 10, 'denied__16__22': 8, 'denied accepting__16__32': 7, 'campaign__41__49': 6})",41,5,20,0.4025610419933526,"Counter({'alleged__159__166': 0.5230248768771578, 'accepting__23__32': 0.5190636387537296, 'denied__16__22': 0.45070980605644123, 'denied accepting__16__32': 0.4211389207745029, 'campaign__41__49': 0.3294349263478444})",0.3741525673035236,"Counter({'alleged__159__166': 0.5, 'accepting__23__32': 0.5, 'denied__16__22': 0.4, 'denied accepting__16__32': 0.35, 'campaign__41__49': 0.3})",campaign__41__49,6,0.3294349263478444,0.3,0.0
40.85,denied__16__22###accepting__23__32###alleged__159__166###campaign__41__49###denied accepting__16__32,nyt_20130321_sarkozy,"mr. sarkozy has denied accepting illegal campaign funds from ms. bettencourt , either personally or through his party treasurer at the time , eric woerth , as alleged by her former butler 0","Mr. Sarkozy has denied accepting illegal campaign funds from Ms. Bettencourt , either personally or through his party treasurer at the time , Eric Woerth , as alleged by her former butler .",1,../../data/pilot_crowd_data/raw_data/f1321546_events_nomotivation,"Counter({'alleged__159__166': 10, 'accepting__23__32': 10, 'denied__16__22': 8, 'denied accepting__16__32': 7, 'campaign__41__49': 6})",41,5,20,0.4025610419933526,"Counter({'alleged__159__166': 0.5230248768771578, 'accepting__23__32': 0.5190636387537296, 'denied__16__22': 0.45070980605644123, 'denied accepting__16__32': 0.4211389207745029, 'campaign__41__49': 0.3294349263478444})",0.3741525673035236,"Counter({'alleged__159__166': 0.5, 'accepting__23__32': 0.5, 'denied__16__22': 0.4, 'denied accepting__16__32': 0.35, 'campaign__41__49': 0.3})",denied accepting__16__32,7,0.4211389207745029,0.35,0.0
40.85,denied__16__22###accepting__23__32###alleged__159__166###campaign__41__49###denied accepting__16__32,nyt_20130321_sarkozy,"mr. sarkozy has denied accepting illegal campaign funds from ms. bettencourt , either personally or through his party treasurer at the time , eric woerth , as alleged by her former butler 0","Mr. Sarkozy has denied accepting illegal campaign funds from Ms. Bettencourt , either personally or through his party treasurer at the time , Eric Woerth , as alleged by her former butler .",1,../../data/pilot_crowd_data/raw_data/f1321546_events_nomotivation,"Counter({'alleged__159__166': 10, 'accepting__23__32': 10, 'denied__16__22': 8, 'denied accepting__16__32': 7, 'campaign__41__49': 6})",41,5,20,0.4025610419933526,"Counter({'alleged__159__166': 0.5230248768771578, 'accepting__23__32': 0.5190636387537296, 'denied__16__22': 0.45070980605644123, 'denied accepting__16__32': 0.4211389207745029, 'campaign__41__49': 0.3294349263478444})",0.3741525673035236,"Counter({'alleged__159__166': 0.5, 'accepting__23__32': 0.5, 'denied__16__22': 0.4, 'denied accepting__16__32': 0.35, 'campaign__41__49': 0.3})",no_event,0,0.0,0.0,0.0
51.05,called__41__47###decision__61__69###indicates__78__87###believes__103__111###crime__150__155###committed__138__147,nyt_20130321_sarkozy,"mr. sarkozy s lawyer , thierry herzog , called the judge s decision , which indicates that the judge believes that mr. sarkozy probably committed a crime , `` incoherent nan and `` unjust 0 nan","Mr. Sarkozy 's lawyer , Thierry Herzog , called the judge 's decision , which indicates that the judge believes that Mr. Sarkozy probably committed a crime , `` incoherent nan and `` unjust “ .",2,../../data/pilot_crowd_data/raw_data/f1321546_events_nomotivation,"Counter({'decision__61__69': 14, 'committed__138__147': 10, 'called__41__47': 10, 'believes__103__111': 10, 'crime__150__155': 9, 'indicates__78__87': 6})",59,6,20,0.5137217335613937,"Counter({'decision__61__69': 0.7224539771509102, 'committed__138__147': 0.5942020968004804, 'called__41__47': 0.567353192186703, 'believes__103__111': 0.5587026917751079, 'crime__150__155': 0.4943146861732865, 'indicates__78__87': 0.3626059393775198})",0.4634444002695104,"Counter({'decision__61__69': 0.7, 'committed__138__147': 0.5, 'called__41__47': 0.5, 'believes__103__111': 0.5, 'crime__150__155': 0.45, 'indicates__78__87': 0.3})",called__41__47,10,0.567353192186703,0.5,1.0
51.05,called__41__47###decision__61__69###indicates__78__87###believes__103__111###crime__150__155###committed__138__147,nyt_20130321_sarkozy,"mr. sarkozy s lawyer , thierry herzog , called the judge s decision , which indicates that the judge believes that mr. sarkozy probably committed a crime , `` incoherent nan and `` unjust 0 nan","Mr. Sarkozy 's lawyer , Thierry Herzog , called the judge 's decision , which indicates that the judge believes that Mr. Sarkozy probably committed a crime , `` incoherent nan and `` unjust “ .",2,../../data/pilot_crowd_data/raw_data/f1321546_events_nomotivation,"Counter({'decision__61__69': 14, 'committed__138__147': 10, 'called__41__47': 10, 'believes__103__111': 10, 'crime__150__155': 9, 'indicates__78__87': 6})",59,6,20,0.5137217335613937,"Counter({'decision__61__69': 0.7224539771509102, 'committed__138__147': 0.5942020968004804, 'called__41__47': 0.567353192186703, 'believes__103__111': 0.5587026917751079, 'crime__150__155': 0.4943146861732865, 'indicates__78__87': 0.3626059393775198})",0.4634444002695104,"Counter({'decision__61__69': 0.7, 'committed__138__147': 0.5, 'called__41__47': 0.5, 'believes__103__111': 0.5, 'crime__150__155': 0.45, 'indicates__78__87': 0.3})",decision__61__69,14,0.7224539771509102,0.7,1.0
51.05,called__41__47###decision__61__69###indicates__78__87###believes__103__111###crime__150__155###committed__138__147,nyt_20130321_sarkozy,"mr. sarkozy s lawyer , thierry herzog , called the judge s decision , which indicates that the judge believes that mr. sarkozy probably committed a crime , `` incoherent nan and `` unjust 0 nan","Mr. Sarkozy 's lawyer , Thierry Herzog , called the judge 's decision , which indicates that the judge believes that Mr. Sarkozy probably committed a crime , `` incoherent nan and `` unjust “ .",2,../../data/pilot_crowd_data/raw_data/f1321546_events_nomotivation,"Counter({'decision__61__69': 14, 'committed__138__147': 10, 'called__41__47': 10, 'believes__103__111': 10, 'crime__150__155': 9, 'indicates__78__87': 6})",59,6,20,0.5137217335613937,"Counter({'decision__61__69': 0.7224539771509102, 'committed__138__147': 0.5942020968004804, 'called__41__47': 0.567353192186703, 'believes__103__111': 0.5587026917751079, 'crime__150__155': 0.4943146861732865, 'indicates__78__87': 0.3626059393775198})",0.4634444002695104,"Counter({'decision__61__69': 0.7, 'committed__138__147': 0.5, 'called__41__47': 0.5, 'believes__103__111': 0.5, 'crime__150__155': 0.45, 'indicates__78__87': 0.3})",indicates__78__87,6,0.3626059393775198,0.3,1.0
51.05,called__41__47###decision__61__69###indicates__78__87###believes__103__111###crime__150__155###committed__138__147,nyt_20130321_sarkozy,"mr. sarkozy s lawyer , thierry herzog , called the judge s decision , which indicates that the judge believes that mr. sarkozy probably committed a crime , `` incoherent nan and `` unjust 0 nan","Mr. Sarkozy 's lawyer , Thierry Herzog , called the judge 's decision , which indicates that the judge believes that Mr. Sarkozy probably committed a crime , `` incoherent nan and `` unjust “ .",2,../../data/pilot_crowd_data/raw_data/f1321546_events_nomotivation,"Counter({'decision__61__69': 14, 'committed__138__147': 10, 'called__41__47': 10, 'believes__103__111': 10, 'crime__150__155': 9, 'indicates__78__87': 6})",59,6,20,0.5137217335613937,"Counter({'decision__61__69': 0.7224539771509102, 'committed__138__147': 0.5942020968004804, 'called__41__47': 0.567353192186703, 'believes__103__111': 0.5587026917751079, 'crime__150__155': 0.4943146861732865, 'indicates__78__87': 0.3626059393775198})",0.4634444002695104,"Counter({'decision__61__69': 0.7, 'committed__138__147': 0.5, 'called__41__47': 0.5, 'believes__103__111': 0.5, 'crime__150__155': 0.45, 'indicates__78__87': 0.3})",believes__103__111,10,0.5587026917751079,0.5,1.0
