duration,input.all_runs_events,input.doc_id,input.lowercase_sentence,input.sentence,input.sentence_id,job,output.selectedtags_desc,output.selectedtags_desc.annotations,output.selectedtags_desc.unique_annotations,worker,uqs,unit_annotation_score,uqs_initial,unit_annotation_score_initial,validated_event,no_of_annotations,validated_event_final_score,validated_event_initial_score,Experts
55.65,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france s richest woman , to get funds for his 2007 presidential campaign 0","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1321550_events_nonemotivation,"Counter({'investigation__83__96': 14, 'abused__113__119': 14, 'campaign__266__274': 12, 'informed__37__45': 11, 'get__230__233': 9, 'face__69__73': 7})",67,6,20,0.6156669431818018,"Counter({'investigation__83__96': 0.7905573421453503, 'abused__113__119': 0.7600649569787629, 'informed__37__45': 0.68123479251998, 'campaign__266__274': 0.6307502895424039, 'get__230__233': 0.5106797406850538, 'face__69__73': 0.4491556765298433})",0.5421607653786948,"Counter({'investigation__83__96': 0.7, 'abused__113__119': 0.7, 'campaign__266__274': 0.6, 'informed__37__45': 0.55, 'get__230__233': 0.45, 'face__69__73': 0.35})",informed__37__45,11,0.6812347925199799,0.55,1.0
55.65,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france s richest woman , to get funds for his 2007 presidential campaign 0","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1321550_events_nonemotivation,"Counter({'investigation__83__96': 14, 'abused__113__119': 14, 'campaign__266__274': 12, 'informed__37__45': 11, 'get__230__233': 9, 'face__69__73': 7})",67,6,20,0.6156669431818018,"Counter({'investigation__83__96': 0.7905573421453503, 'abused__113__119': 0.7600649569787629, 'informed__37__45': 0.68123479251998, 'campaign__266__274': 0.6307502895424039, 'get__230__233': 0.5106797406850538, 'face__69__73': 0.4491556765298433})",0.5421607653786948,"Counter({'investigation__83__96': 0.7, 'abused__113__119': 0.7, 'campaign__266__274': 0.6, 'informed__37__45': 0.55, 'get__230__233': 0.45, 'face__69__73': 0.35})",face__69__73,7,0.4491556765298433,0.35,1.0
55.65,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france s richest woman , to get funds for his 2007 presidential campaign 0","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1321550_events_nonemotivation,"Counter({'investigation__83__96': 14, 'abused__113__119': 14, 'campaign__266__274': 12, 'informed__37__45': 11, 'get__230__233': 9, 'face__69__73': 7})",67,6,20,0.6156669431818018,"Counter({'investigation__83__96': 0.7905573421453503, 'abused__113__119': 0.7600649569787629, 'informed__37__45': 0.68123479251998, 'campaign__266__274': 0.6307502895424039, 'get__230__233': 0.5106797406850538, 'face__69__73': 0.4491556765298433})",0.5421607653786948,"Counter({'investigation__83__96': 0.7, 'abused__113__119': 0.7, 'campaign__266__274': 0.6, 'informed__37__45': 0.55, 'get__230__233': 0.45, 'face__69__73': 0.35})",investigation__83__96,14,0.7905573421453503,0.7,1.0
55.65,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france s richest woman , to get funds for his 2007 presidential campaign 0","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1321550_events_nonemotivation,"Counter({'investigation__83__96': 14, 'abused__113__119': 14, 'campaign__266__274': 12, 'informed__37__45': 11, 'get__230__233': 9, 'face__69__73': 7})",67,6,20,0.6156669431818018,"Counter({'investigation__83__96': 0.7905573421453503, 'abused__113__119': 0.7600649569787629, 'informed__37__45': 0.68123479251998, 'campaign__266__274': 0.6307502895424039, 'get__230__233': 0.5106797406850538, 'face__69__73': 0.4491556765298433})",0.5421607653786948,"Counter({'investigation__83__96': 0.7, 'abused__113__119': 0.7, 'campaign__266__274': 0.6, 'informed__37__45': 0.55, 'get__230__233': 0.45, 'face__69__73': 0.35})",abused__113__119,14,0.7600649569787629,0.7,1.0
55.65,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france s richest woman , to get funds for his 2007 presidential campaign 0","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1321550_events_nonemotivation,"Counter({'investigation__83__96': 14, 'abused__113__119': 14, 'campaign__266__274': 12, 'informed__37__45': 11, 'get__230__233': 9, 'face__69__73': 7})",67,6,20,0.6156669431818018,"Counter({'investigation__83__96': 0.7905573421453503, 'abused__113__119': 0.7600649569787629, 'informed__37__45': 0.68123479251998, 'campaign__266__274': 0.6307502895424039, 'get__230__233': 0.5106797406850538, 'face__69__73': 0.4491556765298433})",0.5421607653786948,"Counter({'investigation__83__96': 0.7, 'abused__113__119': 0.7, 'campaign__266__274': 0.6, 'informed__37__45': 0.55, 'get__230__233': 0.45, 'face__69__73': 0.35})",get__230__233,9,0.5106797406850538,0.45,1.0
55.65,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france s richest woman , to get funds for his 2007 presidential campaign 0","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1321550_events_nonemotivation,"Counter({'investigation__83__96': 14, 'abused__113__119': 14, 'campaign__266__274': 12, 'informed__37__45': 11, 'get__230__233': 9, 'face__69__73': 7})",67,6,20,0.6156669431818018,"Counter({'investigation__83__96': 0.7905573421453503, 'abused__113__119': 0.7600649569787629, 'informed__37__45': 0.68123479251998, 'campaign__266__274': 0.6307502895424039, 'get__230__233': 0.5106797406850538, 'face__69__73': 0.4491556765298433})",0.5421607653786948,"Counter({'investigation__83__96': 0.7, 'abused__113__119': 0.7, 'campaign__266__274': 0.6, 'informed__37__45': 0.55, 'get__230__233': 0.45, 'face__69__73': 0.35})",campaign__266__274,12,0.6307502895424039,0.6,1.0
55.65,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france s richest woman , to get funds for his 2007 presidential campaign 0","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1321550_events_nonemotivation,"Counter({'investigation__83__96': 14, 'abused__113__119': 14, 'campaign__266__274': 12, 'informed__37__45': 11, 'get__230__233': 9, 'face__69__73': 7})",67,6,20,0.6156669431818018,"Counter({'investigation__83__96': 0.7905573421453503, 'abused__113__119': 0.7600649569787629, 'informed__37__45': 0.68123479251998, 'campaign__266__274': 0.6307502895424039, 'get__230__233': 0.5106797406850538, 'face__69__73': 0.4491556765298433})",0.5421607653786948,"Counter({'investigation__83__96': 0.7, 'abused__113__119': 0.7, 'campaign__266__274': 0.6, 'informed__37__45': 0.55, 'get__230__233': 0.45, 'face__69__73': 0.35})",no_event,0,0.0,0.0,0.0
43.0,denied__16__22###accepting__23__32###alleged__159__166###campaign__41__49###denied accepting__16__32,nyt_20130321_sarkozy,"mr. sarkozy has denied accepting illegal campaign funds from ms. bettencourt , either personally or through his party treasurer at the time , eric woerth , as alleged by her former butler 0","Mr. Sarkozy has denied accepting illegal campaign funds from Ms. Bettencourt , either personally or through his party treasurer at the time , Eric Woerth , as alleged by her former butler .",1,../../data/pilot_crowd_data/raw_data/f1321550_events_nonemotivation,"Counter({'alleged__159__166': 12, 'denied accepting__16__32': 11, 'denied__16__22': 11, 'campaign__41__49': 9, 'accepting__23__32': 8})",51,5,20,0.5136014380261308,"Counter({'alleged__159__166': 0.6436981614209447, 'denied accepting__16__32': 0.6376380204060113, 'denied__16__22': 0.6297702155188558, 'campaign__41__49': 0.47151676184808683, 'accepting__23__32': 0.45630111812136837})",0.4536011117327653,"Counter({'alleged__159__166': 0.6, 'denied accepting__16__32': 0.55, 'denied__16__22': 0.55, 'campaign__41__49': 0.45, 'accepting__23__32': 0.4})",denied__16__22,11,0.6297702155188558,0.55,1.0
43.0,denied__16__22###accepting__23__32###alleged__159__166###campaign__41__49###denied accepting__16__32,nyt_20130321_sarkozy,"mr. sarkozy has denied accepting illegal campaign funds from ms. bettencourt , either personally or through his party treasurer at the time , eric woerth , as alleged by her former butler 0","Mr. Sarkozy has denied accepting illegal campaign funds from Ms. Bettencourt , either personally or through his party treasurer at the time , Eric Woerth , as alleged by her former butler .",1,../../data/pilot_crowd_data/raw_data/f1321550_events_nonemotivation,"Counter({'alleged__159__166': 12, 'denied accepting__16__32': 11, 'denied__16__22': 11, 'campaign__41__49': 9, 'accepting__23__32': 8})",51,5,20,0.5136014380261308,"Counter({'alleged__159__166': 0.6436981614209447, 'denied accepting__16__32': 0.6376380204060113, 'denied__16__22': 0.6297702155188558, 'campaign__41__49': 0.47151676184808683, 'accepting__23__32': 0.45630111812136837})",0.4536011117327653,"Counter({'alleged__159__166': 0.6, 'denied accepting__16__32': 0.55, 'denied__16__22': 0.55, 'campaign__41__49': 0.45, 'accepting__23__32': 0.4})",accepting__23__32,8,0.4563011181213684,0.4,1.0
43.0,denied__16__22###accepting__23__32###alleged__159__166###campaign__41__49###denied accepting__16__32,nyt_20130321_sarkozy,"mr. sarkozy has denied accepting illegal campaign funds from ms. bettencourt , either personally or through his party treasurer at the time , eric woerth , as alleged by her former butler 0","Mr. Sarkozy has denied accepting illegal campaign funds from Ms. Bettencourt , either personally or through his party treasurer at the time , Eric Woerth , as alleged by her former butler .",1,../../data/pilot_crowd_data/raw_data/f1321550_events_nonemotivation,"Counter({'alleged__159__166': 12, 'denied accepting__16__32': 11, 'denied__16__22': 11, 'campaign__41__49': 9, 'accepting__23__32': 8})",51,5,20,0.5136014380261308,"Counter({'alleged__159__166': 0.6436981614209447, 'denied accepting__16__32': 0.6376380204060113, 'denied__16__22': 0.6297702155188558, 'campaign__41__49': 0.47151676184808683, 'accepting__23__32': 0.45630111812136837})",0.4536011117327653,"Counter({'alleged__159__166': 0.6, 'denied accepting__16__32': 0.55, 'denied__16__22': 0.55, 'campaign__41__49': 0.45, 'accepting__23__32': 0.4})",alleged__159__166,12,0.6436981614209447,0.6,1.0
