duration,input.all_runs_times,input.doc_id,input.lowercase_sentence,input.sentence,input.sentence_id,input.time_expressions,job,output.selectedtags_desc,output.selectedtags_desc.annotations,output.selectedtags_desc.unique_annotations,worker,uqs,unit_annotation_score,uqs_initial,unit_annotation_score_initial,validated_time,no_of_annotations,validated_time_final_score,validated_time_initial_score,Experts
44.55,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,bbc_20130322_332,bp expects the share buyback programme could take between 12 and 18 months to complete .,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,2,../../data/pilot_crowd_data/raw_data/f1328283,"Counter({'12 and 18 months__58__74': 19, '18 months__65__74': 7, '12__58__60': 5, 'and__61__64': 1})",32,4,20,0.7638349919789311,"Counter({'12 and 18 months__58__74': 0.9857217840797734, '18 months__65__74': 0.3503297559488687, '12__58__60': 0.27933734404793076, 'and__61__64': 0.04380799674066941})",0.72541663886288,"Counter({'12 and 18 months__58__74': 0.95, '18 months__65__74': 0.35, '12__58__60': 0.25, 'and__61__64': 0.05})",18 months__65__74,7,0.3503297559488687,0.35,1.0
44.55,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,bbc_20130322_332,bp expects the share buyback programme could take between 12 and 18 months to complete .,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,2,../../data/pilot_crowd_data/raw_data/f1328283,"Counter({'12 and 18 months__58__74': 19, '18 months__65__74': 7, '12__58__60': 5, 'and__61__64': 1})",32,4,20,0.7638349919789311,"Counter({'12 and 18 months__58__74': 0.9857217840797734, '18 months__65__74': 0.3503297559488687, '12__58__60': 0.27933734404793076, 'and__61__64': 0.04380799674066941})",0.72541663886288,"Counter({'12 and 18 months__58__74': 0.95, '18 months__65__74': 0.35, '12__58__60': 0.25, 'and__61__64': 0.05})",12 and 18 months__58__74,19,0.9857217840797734,0.95,0.0
44.55,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,bbc_20130322_332,bp expects the share buyback programme could take between 12 and 18 months to complete .,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,2,../../data/pilot_crowd_data/raw_data/f1328283,"Counter({'12 and 18 months__58__74': 19, '18 months__65__74': 7, '12__58__60': 5, 'and__61__64': 1})",32,4,20,0.7638349919789311,"Counter({'12 and 18 months__58__74': 0.9857217840797734, '18 months__65__74': 0.3503297559488687, '12__58__60': 0.27933734404793076, 'and__61__64': 0.04380799674066941})",0.72541663886288,"Counter({'12 and 18 months__58__74': 0.95, '18 months__65__74': 0.35, '12__58__60': 0.25, 'and__61__64': 0.05})",12__58__60,5,0.2793373440479308,0.25,1.0
44.55,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,bbc_20130322_332,bp expects the share buyback programme could take between 12 and 18 months to complete .,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,2,../../data/pilot_crowd_data/raw_data/f1328283,"Counter({'12 and 18 months__58__74': 19, '18 months__65__74': 7, '12__58__60': 5, 'and__61__64': 1})",32,4,20,0.7638349919789311,"Counter({'12 and 18 months__58__74': 0.9857217840797734, '18 months__65__74': 0.3503297559488687, '12__58__60': 0.27933734404793076, 'and__61__64': 0.04380799674066941})",0.72541663886288,"Counter({'12 and 18 months__58__74': 0.95, '18 months__65__74': 0.35, '12__58__60': 0.25, 'and__61__64': 0.05})",and__61__64,1,0.04380799674066941,0.05,0.0
44.55,18 months__65__74###12 and 18 months__58__74###12__58__60###and__61__64,bbc_20130322_332,bp expects the share buyback programme could take between 12 and 18 months to complete .,BP expects the share buyback programme could take between 12 and 18 months to complete .,6,2,../../data/pilot_crowd_data/raw_data/f1328283,"Counter({'12 and 18 months__58__74': 19, '18 months__65__74': 7, '12__58__60': 5, 'and__61__64': 1})",32,4,20,0.7638349919789311,"Counter({'12 and 18 months__58__74': 0.9857217840797734, '18 months__65__74': 0.3503297559488687, '12__58__60': 0.27933734404793076, 'and__61__64': 0.04380799674066941})",0.72541663886288,"Counter({'12 and 18 months__58__74': 0.95, '18 months__65__74': 0.35, '12__58__60': 0.25, 'and__61__64': 0.05})",no_time,0,0.0,0.0,0.0
41.9,1953__113__117###1953 .__113__119,bbc_20130322_1150,new zealand-born mr lowe was part of the team that helped sir edmund hillary and tenzing norgay to the summit in 1953 .,New Zealand-born Mr Lowe was part of the team that helped Sir Edmund Hillary and Tenzing Norgay to the summit in 1953 .,2,1,../../data/pilot_crowd_data/raw_data/f1328283,"Counter({'1953__113__117': 15, '1953 .__113__119': 14})",29,2,20,0.7088423201885755,"Counter({'1953__113__117': 0.778418616474394, '1953 .__113__119': 0.7063487131279444})",0.6894924807235182,"Counter({'1953__113__117': 0.75, '1953 .__113__119': 0.7})",1953__113__117,15,0.778418616474394,0.75,1.0
41.9,1953__113__117###1953 .__113__119,bbc_20130322_1150,new zealand-born mr lowe was part of the team that helped sir edmund hillary and tenzing norgay to the summit in 1953 .,New Zealand-born Mr Lowe was part of the team that helped Sir Edmund Hillary and Tenzing Norgay to the summit in 1953 .,2,1,../../data/pilot_crowd_data/raw_data/f1328283,"Counter({'1953__113__117': 15, '1953 .__113__119': 14})",29,2,20,0.7088423201885755,"Counter({'1953__113__117': 0.778418616474394, '1953 .__113__119': 0.7063487131279444})",0.6894924807235182,"Counter({'1953__113__117': 0.75, '1953 .__113__119': 0.7})",1953 .__113__119,14,0.7063487131279444,0.7,0.0
41.9,1953__113__117###1953 .__113__119,bbc_20130322_1150,new zealand-born mr lowe was part of the team that helped sir edmund hillary and tenzing norgay to the summit in 1953 .,New Zealand-born Mr Lowe was part of the team that helped Sir Edmund Hillary and Tenzing Norgay to the summit in 1953 .,2,1,../../data/pilot_crowd_data/raw_data/f1328283,"Counter({'1953__113__117': 15, '1953 .__113__119': 14})",29,2,20,0.7088423201885755,"Counter({'1953__113__117': 0.778418616474394, '1953 .__113__119': 0.7063487131279444})",0.6894924807235182,"Counter({'1953__113__117': 0.75, '1953 .__113__119': 0.7})",no_time,0,0.0,0.0,0.0
20.75,1953__71__75,bbc_20130322_1150,the last surviving member of the team which first conquered everest in 1953 has died in a derbyshire nursing home .,The last surviving member of the team which first conquered Everest in 1953 has died in a Derbyshire nursing home .,0,1,../../data/pilot_crowd_data/raw_data/f1328283,"Counter({'1953__71__75': 19, 'no_time': 1})",20,2,20,0.970125965847706,"Counter({'1953__71__75': 0.9856577859941497, 'no_time': 0.014342214005850262})",0.9,"Counter({'1953__71__75': 0.95, 'no_time': 0.05})",1953__71__75,19,0.9856577859941495,0.95,1.0
20.75,1953__71__75,bbc_20130322_1150,the last surviving member of the team which first conquered everest in 1953 has died in a derbyshire nursing home .,The last surviving member of the team which first conquered Everest in 1953 has died in a Derbyshire nursing home .,0,1,../../data/pilot_crowd_data/raw_data/f1328283,"Counter({'1953__71__75': 19, 'no_time': 1})",20,2,20,0.970125965847706,"Counter({'1953__71__75': 0.9856577859941497, 'no_time': 0.014342214005850262})",0.9,"Counter({'1953__71__75': 0.95, 'no_time': 0.05})",no_time,1,0.014342214005850262,0.05,0.0
