duration,input.all_possible_pgsm_events,input.doc_id,input.lowercase_sentence,input.sentence,input.sentence_id,job,output.selectedtags_desc,output.selectedtags_desc.annotations,output.selectedtags_desc.unique_annotations,worker,uqs,unit_annotation_score,uqs_initial,unit_annotation_score_initial,validated_event,no_of_annotations,validated_event_final_score,validated_event_initial_score,Experts
49.85,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274###was__33__36###for__240__243###funds__234__239,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france 's richest woman , to get funds for his 2007 presidential campaign .","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1329646_allpossibleevents_motivation,"Counter({'investigation__83__96': 13, 'informed__37__45': 11, 'abused__113__119': 11, 'campaign__266__274': 9, 'get__230__233': 7, 'face__69__73': 6, 'was__33__36': 5, 'for__240__243': 2, 'funds__234__239': 2})",66,9,20,0.5237224587737815,"Counter({'abused__113__119': 0.7315934359203761, 'investigation__83__96': 0.7104886218127329, 'informed__37__45': 0.6989200462056736, 'campaign__266__274': 0.5522980162392983, 'get__230__233': 0.529692793113241, 'face__69__73': 0.4741108544504664, 'was__33__36': 0.32931231131783967, 'funds__234__239': 0.1430881956708351, 'for__240__243': 0.11018351244484298})",0.4168264369696758,"Counter({'investigation__83__96': 0.65, 'informed__37__45': 0.55, 'abused__113__119': 0.55, 'campaign__266__274': 0.45, 'get__230__233': 0.35, 'face__69__73': 0.3, 'was__33__36': 0.25, 'for__240__243': 0.1, 'funds__234__239': 0.1})",informed__37__45,11,0.6989200462056736,0.55,1.0
49.85,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274###was__33__36###for__240__243###funds__234__239,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france 's richest woman , to get funds for his 2007 presidential campaign .","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1329646_allpossibleevents_motivation,"Counter({'investigation__83__96': 13, 'informed__37__45': 11, 'abused__113__119': 11, 'campaign__266__274': 9, 'get__230__233': 7, 'face__69__73': 6, 'was__33__36': 5, 'for__240__243': 2, 'funds__234__239': 2})",66,9,20,0.5237224587737815,"Counter({'abused__113__119': 0.7315934359203761, 'investigation__83__96': 0.7104886218127329, 'informed__37__45': 0.6989200462056736, 'campaign__266__274': 0.5522980162392983, 'get__230__233': 0.529692793113241, 'face__69__73': 0.4741108544504664, 'was__33__36': 0.32931231131783967, 'funds__234__239': 0.1430881956708351, 'for__240__243': 0.11018351244484298})",0.4168264369696758,"Counter({'investigation__83__96': 0.65, 'informed__37__45': 0.55, 'abused__113__119': 0.55, 'campaign__266__274': 0.45, 'get__230__233': 0.35, 'face__69__73': 0.3, 'was__33__36': 0.25, 'for__240__243': 0.1, 'funds__234__239': 0.1})",face__69__73,6,0.4741108544504664,0.3,1.0
49.85,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274###was__33__36###for__240__243###funds__234__239,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france 's richest woman , to get funds for his 2007 presidential campaign .","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1329646_allpossibleevents_motivation,"Counter({'investigation__83__96': 13, 'informed__37__45': 11, 'abused__113__119': 11, 'campaign__266__274': 9, 'get__230__233': 7, 'face__69__73': 6, 'was__33__36': 5, 'for__240__243': 2, 'funds__234__239': 2})",66,9,20,0.5237224587737815,"Counter({'abused__113__119': 0.7315934359203761, 'investigation__83__96': 0.7104886218127329, 'informed__37__45': 0.6989200462056736, 'campaign__266__274': 0.5522980162392983, 'get__230__233': 0.529692793113241, 'face__69__73': 0.4741108544504664, 'was__33__36': 0.32931231131783967, 'funds__234__239': 0.1430881956708351, 'for__240__243': 0.11018351244484298})",0.4168264369696758,"Counter({'investigation__83__96': 0.65, 'informed__37__45': 0.55, 'abused__113__119': 0.55, 'campaign__266__274': 0.45, 'get__230__233': 0.35, 'face__69__73': 0.3, 'was__33__36': 0.25, 'for__240__243': 0.1, 'funds__234__239': 0.1})",investigation__83__96,13,0.7104886218127329,0.65,1.0
49.85,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274###was__33__36###for__240__243###funds__234__239,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france 's richest woman , to get funds for his 2007 presidential campaign .","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1329646_allpossibleevents_motivation,"Counter({'investigation__83__96': 13, 'informed__37__45': 11, 'abused__113__119': 11, 'campaign__266__274': 9, 'get__230__233': 7, 'face__69__73': 6, 'was__33__36': 5, 'for__240__243': 2, 'funds__234__239': 2})",66,9,20,0.5237224587737815,"Counter({'abused__113__119': 0.7315934359203761, 'investigation__83__96': 0.7104886218127329, 'informed__37__45': 0.6989200462056736, 'campaign__266__274': 0.5522980162392983, 'get__230__233': 0.529692793113241, 'face__69__73': 0.4741108544504664, 'was__33__36': 0.32931231131783967, 'funds__234__239': 0.1430881956708351, 'for__240__243': 0.11018351244484298})",0.4168264369696758,"Counter({'investigation__83__96': 0.65, 'informed__37__45': 0.55, 'abused__113__119': 0.55, 'campaign__266__274': 0.45, 'get__230__233': 0.35, 'face__69__73': 0.3, 'was__33__36': 0.25, 'for__240__243': 0.1, 'funds__234__239': 0.1})",abused__113__119,11,0.7315934359203761,0.55,1.0
49.85,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274###was__33__36###for__240__243###funds__234__239,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france 's richest woman , to get funds for his 2007 presidential campaign .","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1329646_allpossibleevents_motivation,"Counter({'investigation__83__96': 13, 'informed__37__45': 11, 'abused__113__119': 11, 'campaign__266__274': 9, 'get__230__233': 7, 'face__69__73': 6, 'was__33__36': 5, 'for__240__243': 2, 'funds__234__239': 2})",66,9,20,0.5237224587737815,"Counter({'abused__113__119': 0.7315934359203761, 'investigation__83__96': 0.7104886218127329, 'informed__37__45': 0.6989200462056736, 'campaign__266__274': 0.5522980162392983, 'get__230__233': 0.529692793113241, 'face__69__73': 0.4741108544504664, 'was__33__36': 0.32931231131783967, 'funds__234__239': 0.1430881956708351, 'for__240__243': 0.11018351244484298})",0.4168264369696758,"Counter({'investigation__83__96': 0.65, 'informed__37__45': 0.55, 'abused__113__119': 0.55, 'campaign__266__274': 0.45, 'get__230__233': 0.35, 'face__69__73': 0.3, 'was__33__36': 0.25, 'for__240__243': 0.1, 'funds__234__239': 0.1})",get__230__233,7,0.529692793113241,0.35,1.0
49.85,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274###was__33__36###for__240__243###funds__234__239,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france 's richest woman , to get funds for his 2007 presidential campaign .","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1329646_allpossibleevents_motivation,"Counter({'investigation__83__96': 13, 'informed__37__45': 11, 'abused__113__119': 11, 'campaign__266__274': 9, 'get__230__233': 7, 'face__69__73': 6, 'was__33__36': 5, 'for__240__243': 2, 'funds__234__239': 2})",66,9,20,0.5237224587737815,"Counter({'abused__113__119': 0.7315934359203761, 'investigation__83__96': 0.7104886218127329, 'informed__37__45': 0.6989200462056736, 'campaign__266__274': 0.5522980162392983, 'get__230__233': 0.529692793113241, 'face__69__73': 0.4741108544504664, 'was__33__36': 0.32931231131783967, 'funds__234__239': 0.1430881956708351, 'for__240__243': 0.11018351244484298})",0.4168264369696758,"Counter({'investigation__83__96': 0.65, 'informed__37__45': 0.55, 'abused__113__119': 0.55, 'campaign__266__274': 0.45, 'get__230__233': 0.35, 'face__69__73': 0.3, 'was__33__36': 0.25, 'for__240__243': 0.1, 'funds__234__239': 0.1})",campaign__266__274,9,0.5522980162392983,0.45,1.0
49.85,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274###was__33__36###for__240__243###funds__234__239,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france 's richest woman , to get funds for his 2007 presidential campaign .","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1329646_allpossibleevents_motivation,"Counter({'investigation__83__96': 13, 'informed__37__45': 11, 'abused__113__119': 11, 'campaign__266__274': 9, 'get__230__233': 7, 'face__69__73': 6, 'was__33__36': 5, 'for__240__243': 2, 'funds__234__239': 2})",66,9,20,0.5237224587737815,"Counter({'abused__113__119': 0.7315934359203761, 'investigation__83__96': 0.7104886218127329, 'informed__37__45': 0.6989200462056736, 'campaign__266__274': 0.5522980162392983, 'get__230__233': 0.529692793113241, 'face__69__73': 0.4741108544504664, 'was__33__36': 0.32931231131783967, 'funds__234__239': 0.1430881956708351, 'for__240__243': 0.11018351244484298})",0.4168264369696758,"Counter({'investigation__83__96': 0.65, 'informed__37__45': 0.55, 'abused__113__119': 0.55, 'campaign__266__274': 0.45, 'get__230__233': 0.35, 'face__69__73': 0.3, 'was__33__36': 0.25, 'for__240__243': 0.1, 'funds__234__239': 0.1})",was__33__36,5,0.3293123113178397,0.25,0.0
49.85,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274###was__33__36###for__240__243###funds__234__239,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france 's richest woman , to get funds for his 2007 presidential campaign .","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1329646_allpossibleevents_motivation,"Counter({'investigation__83__96': 13, 'informed__37__45': 11, 'abused__113__119': 11, 'campaign__266__274': 9, 'get__230__233': 7, 'face__69__73': 6, 'was__33__36': 5, 'for__240__243': 2, 'funds__234__239': 2})",66,9,20,0.5237224587737815,"Counter({'abused__113__119': 0.7315934359203761, 'investigation__83__96': 0.7104886218127329, 'informed__37__45': 0.6989200462056736, 'campaign__266__274': 0.5522980162392983, 'get__230__233': 0.529692793113241, 'face__69__73': 0.4741108544504664, 'was__33__36': 0.32931231131783967, 'funds__234__239': 0.1430881956708351, 'for__240__243': 0.11018351244484298})",0.4168264369696758,"Counter({'investigation__83__96': 0.65, 'informed__37__45': 0.55, 'abused__113__119': 0.55, 'campaign__266__274': 0.45, 'get__230__233': 0.35, 'face__69__73': 0.3, 'was__33__36': 0.25, 'for__240__243': 0.1, 'funds__234__239': 0.1})",for__240__243,2,0.11018351244484298,0.1,0.0
49.85,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274###was__33__36###for__240__243###funds__234__239,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france 's richest woman , to get funds for his 2007 presidential campaign .","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1329646_allpossibleevents_motivation,"Counter({'investigation__83__96': 13, 'informed__37__45': 11, 'abused__113__119': 11, 'campaign__266__274': 9, 'get__230__233': 7, 'face__69__73': 6, 'was__33__36': 5, 'for__240__243': 2, 'funds__234__239': 2})",66,9,20,0.5237224587737815,"Counter({'abused__113__119': 0.7315934359203761, 'investigation__83__96': 0.7104886218127329, 'informed__37__45': 0.6989200462056736, 'campaign__266__274': 0.5522980162392983, 'get__230__233': 0.529692793113241, 'face__69__73': 0.4741108544504664, 'was__33__36': 0.32931231131783967, 'funds__234__239': 0.1430881956708351, 'for__240__243': 0.11018351244484298})",0.4168264369696758,"Counter({'investigation__83__96': 0.65, 'informed__37__45': 0.55, 'abused__113__119': 0.55, 'campaign__266__274': 0.45, 'get__230__233': 0.35, 'face__69__73': 0.3, 'was__33__36': 0.25, 'for__240__243': 0.1, 'funds__234__239': 0.1})",funds__234__239,2,0.1430881956708351,0.1,0.0
49.85,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274###was__33__36###for__240__243###funds__234__239,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france 's richest woman , to get funds for his 2007 presidential campaign .","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1329646_allpossibleevents_motivation,"Counter({'investigation__83__96': 13, 'informed__37__45': 11, 'abused__113__119': 11, 'campaign__266__274': 9, 'get__230__233': 7, 'face__69__73': 6, 'was__33__36': 5, 'for__240__243': 2, 'funds__234__239': 2})",66,9,20,0.5237224587737815,"Counter({'abused__113__119': 0.7315934359203761, 'investigation__83__96': 0.7104886218127329, 'informed__37__45': 0.6989200462056736, 'campaign__266__274': 0.5522980162392983, 'get__230__233': 0.529692793113241, 'face__69__73': 0.4741108544504664, 'was__33__36': 0.32931231131783967, 'funds__234__239': 0.1430881956708351, 'for__240__243': 0.11018351244484298})",0.4168264369696758,"Counter({'investigation__83__96': 0.65, 'informed__37__45': 0.55, 'abused__113__119': 0.55, 'campaign__266__274': 0.45, 'get__230__233': 0.35, 'face__69__73': 0.3, 'was__33__36': 0.25, 'for__240__243': 0.1, 'funds__234__239': 0.1})",no_event,0,0.0,0.0,0.0
