duration,input.all_possible_pgsm_events,input.doc_id,input.lowercase_sentence,input.sentence,input.sentence_id,job,output.selectedtags_desc,output.selectedtags_desc.annotations,output.selectedtags_desc.unique_annotations,worker,uqs,unit_annotation_score,uqs_initial,unit_annotation_score_initial,validated_event,no_of_annotations,validated_event_final_score,validated_event_initial_score,Experts
53.15,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274###was__33__36###for__240__243###funds__234__239,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france 's richest woman , to get funds for his 2007 presidential campaign .","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1330064_allpossibleevents_motivation&highlight,"Counter({'investigation__83__96': 18, 'campaign__266__274': 17, 'abused__113__119': 16, 'informed__37__45': 14, 'get__230__233': 9, 'was__33__36': 8, 'funds__234__239': 8, 'face__69__73': 7, 'for__240__243': 3})",100,9,20,0.6924092906256366,"Counter({'investigation__83__96': 0.9216686847629074, 'campaign__266__274': 0.8942692706089297, 'abused__113__119': 0.8645993648208794, 'informed__37__45': 0.7860338568106943, 'get__230__233': 0.539616645512021, 'was__33__36': 0.4525471821090564, 'face__69__73': 0.433735876128725, 'funds__234__239': 0.415817467431576, 'for__240__243': 0.18885311645687605})",0.647690326268668,"Counter({'investigation__83__96': 0.9, 'campaign__266__274': 0.85, 'abused__113__119': 0.8, 'informed__37__45': 0.7, 'get__230__233': 0.45, 'was__33__36': 0.4, 'funds__234__239': 0.4, 'face__69__73': 0.35, 'for__240__243': 0.15})",informed__37__45,14,0.7860338568106943,0.7,1.0
53.15,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274###was__33__36###for__240__243###funds__234__239,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france 's richest woman , to get funds for his 2007 presidential campaign .","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1330064_allpossibleevents_motivation&highlight,"Counter({'investigation__83__96': 18, 'campaign__266__274': 17, 'abused__113__119': 16, 'informed__37__45': 14, 'get__230__233': 9, 'was__33__36': 8, 'funds__234__239': 8, 'face__69__73': 7, 'for__240__243': 3})",100,9,20,0.6924092906256366,"Counter({'investigation__83__96': 0.9216686847629074, 'campaign__266__274': 0.8942692706089297, 'abused__113__119': 0.8645993648208794, 'informed__37__45': 0.7860338568106943, 'get__230__233': 0.539616645512021, 'was__33__36': 0.4525471821090564, 'face__69__73': 0.433735876128725, 'funds__234__239': 0.415817467431576, 'for__240__243': 0.18885311645687605})",0.647690326268668,"Counter({'investigation__83__96': 0.9, 'campaign__266__274': 0.85, 'abused__113__119': 0.8, 'informed__37__45': 0.7, 'get__230__233': 0.45, 'was__33__36': 0.4, 'funds__234__239': 0.4, 'face__69__73': 0.35, 'for__240__243': 0.15})",face__69__73,7,0.43373587612872494,0.35,1.0
53.15,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274###was__33__36###for__240__243###funds__234__239,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france 's richest woman , to get funds for his 2007 presidential campaign .","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1330064_allpossibleevents_motivation&highlight,"Counter({'investigation__83__96': 18, 'campaign__266__274': 17, 'abused__113__119': 16, 'informed__37__45': 14, 'get__230__233': 9, 'was__33__36': 8, 'funds__234__239': 8, 'face__69__73': 7, 'for__240__243': 3})",100,9,20,0.6924092906256366,"Counter({'investigation__83__96': 0.9216686847629074, 'campaign__266__274': 0.8942692706089297, 'abused__113__119': 0.8645993648208794, 'informed__37__45': 0.7860338568106943, 'get__230__233': 0.539616645512021, 'was__33__36': 0.4525471821090564, 'face__69__73': 0.433735876128725, 'funds__234__239': 0.415817467431576, 'for__240__243': 0.18885311645687605})",0.647690326268668,"Counter({'investigation__83__96': 0.9, 'campaign__266__274': 0.85, 'abused__113__119': 0.8, 'informed__37__45': 0.7, 'get__230__233': 0.45, 'was__33__36': 0.4, 'funds__234__239': 0.4, 'face__69__73': 0.35, 'for__240__243': 0.15})",investigation__83__96,18,0.9216686847629074,0.9,1.0
53.15,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274###was__33__36###for__240__243###funds__234__239,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france 's richest woman , to get funds for his 2007 presidential campaign .","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1330064_allpossibleevents_motivation&highlight,"Counter({'investigation__83__96': 18, 'campaign__266__274': 17, 'abused__113__119': 16, 'informed__37__45': 14, 'get__230__233': 9, 'was__33__36': 8, 'funds__234__239': 8, 'face__69__73': 7, 'for__240__243': 3})",100,9,20,0.6924092906256366,"Counter({'investigation__83__96': 0.9216686847629074, 'campaign__266__274': 0.8942692706089297, 'abused__113__119': 0.8645993648208794, 'informed__37__45': 0.7860338568106943, 'get__230__233': 0.539616645512021, 'was__33__36': 0.4525471821090564, 'face__69__73': 0.433735876128725, 'funds__234__239': 0.415817467431576, 'for__240__243': 0.18885311645687605})",0.647690326268668,"Counter({'investigation__83__96': 0.9, 'campaign__266__274': 0.85, 'abused__113__119': 0.8, 'informed__37__45': 0.7, 'get__230__233': 0.45, 'was__33__36': 0.4, 'funds__234__239': 0.4, 'face__69__73': 0.35, 'for__240__243': 0.15})",abused__113__119,16,0.8645993648208794,0.8,1.0
53.15,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274###was__33__36###for__240__243###funds__234__239,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france 's richest woman , to get funds for his 2007 presidential campaign .","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1330064_allpossibleevents_motivation&highlight,"Counter({'investigation__83__96': 18, 'campaign__266__274': 17, 'abused__113__119': 16, 'informed__37__45': 14, 'get__230__233': 9, 'was__33__36': 8, 'funds__234__239': 8, 'face__69__73': 7, 'for__240__243': 3})",100,9,20,0.6924092906256366,"Counter({'investigation__83__96': 0.9216686847629074, 'campaign__266__274': 0.8942692706089297, 'abused__113__119': 0.8645993648208794, 'informed__37__45': 0.7860338568106943, 'get__230__233': 0.539616645512021, 'was__33__36': 0.4525471821090564, 'face__69__73': 0.433735876128725, 'funds__234__239': 0.415817467431576, 'for__240__243': 0.18885311645687605})",0.647690326268668,"Counter({'investigation__83__96': 0.9, 'campaign__266__274': 0.85, 'abused__113__119': 0.8, 'informed__37__45': 0.7, 'get__230__233': 0.45, 'was__33__36': 0.4, 'funds__234__239': 0.4, 'face__69__73': 0.35, 'for__240__243': 0.15})",get__230__233,9,0.5396166455120209,0.45,1.0
53.15,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274###was__33__36###for__240__243###funds__234__239,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france 's richest woman , to get funds for his 2007 presidential campaign .","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1330064_allpossibleevents_motivation&highlight,"Counter({'investigation__83__96': 18, 'campaign__266__274': 17, 'abused__113__119': 16, 'informed__37__45': 14, 'get__230__233': 9, 'was__33__36': 8, 'funds__234__239': 8, 'face__69__73': 7, 'for__240__243': 3})",100,9,20,0.6924092906256366,"Counter({'investigation__83__96': 0.9216686847629074, 'campaign__266__274': 0.8942692706089297, 'abused__113__119': 0.8645993648208794, 'informed__37__45': 0.7860338568106943, 'get__230__233': 0.539616645512021, 'was__33__36': 0.4525471821090564, 'face__69__73': 0.433735876128725, 'funds__234__239': 0.415817467431576, 'for__240__243': 0.18885311645687605})",0.647690326268668,"Counter({'investigation__83__96': 0.9, 'campaign__266__274': 0.85, 'abused__113__119': 0.8, 'informed__37__45': 0.7, 'get__230__233': 0.45, 'was__33__36': 0.4, 'funds__234__239': 0.4, 'face__69__73': 0.35, 'for__240__243': 0.15})",campaign__266__274,17,0.8942692706089297,0.85,1.0
53.15,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274###was__33__36###for__240__243###funds__234__239,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france 's richest woman , to get funds for his 2007 presidential campaign .","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1330064_allpossibleevents_motivation&highlight,"Counter({'investigation__83__96': 18, 'campaign__266__274': 17, 'abused__113__119': 16, 'informed__37__45': 14, 'get__230__233': 9, 'was__33__36': 8, 'funds__234__239': 8, 'face__69__73': 7, 'for__240__243': 3})",100,9,20,0.6924092906256366,"Counter({'investigation__83__96': 0.9216686847629074, 'campaign__266__274': 0.8942692706089297, 'abused__113__119': 0.8645993648208794, 'informed__37__45': 0.7860338568106943, 'get__230__233': 0.539616645512021, 'was__33__36': 0.4525471821090564, 'face__69__73': 0.433735876128725, 'funds__234__239': 0.415817467431576, 'for__240__243': 0.18885311645687605})",0.647690326268668,"Counter({'investigation__83__96': 0.9, 'campaign__266__274': 0.85, 'abused__113__119': 0.8, 'informed__37__45': 0.7, 'get__230__233': 0.45, 'was__33__36': 0.4, 'funds__234__239': 0.4, 'face__69__73': 0.35, 'for__240__243': 0.15})",was__33__36,8,0.4525471821090564,0.4,0.0
53.15,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274###was__33__36###for__240__243###funds__234__239,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france 's richest woman , to get funds for his 2007 presidential campaign .","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1330064_allpossibleevents_motivation&highlight,"Counter({'investigation__83__96': 18, 'campaign__266__274': 17, 'abused__113__119': 16, 'informed__37__45': 14, 'get__230__233': 9, 'was__33__36': 8, 'funds__234__239': 8, 'face__69__73': 7, 'for__240__243': 3})",100,9,20,0.6924092906256366,"Counter({'investigation__83__96': 0.9216686847629074, 'campaign__266__274': 0.8942692706089297, 'abused__113__119': 0.8645993648208794, 'informed__37__45': 0.7860338568106943, 'get__230__233': 0.539616645512021, 'was__33__36': 0.4525471821090564, 'face__69__73': 0.433735876128725, 'funds__234__239': 0.415817467431576, 'for__240__243': 0.18885311645687605})",0.647690326268668,"Counter({'investigation__83__96': 0.9, 'campaign__266__274': 0.85, 'abused__113__119': 0.8, 'informed__37__45': 0.7, 'get__230__233': 0.45, 'was__33__36': 0.4, 'funds__234__239': 0.4, 'face__69__73': 0.35, 'for__240__243': 0.15})",for__240__243,3,0.18885311645687605,0.15,0.0
53.15,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274###was__33__36###for__240__243###funds__234__239,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france 's richest woman , to get funds for his 2007 presidential campaign .","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1330064_allpossibleevents_motivation&highlight,"Counter({'investigation__83__96': 18, 'campaign__266__274': 17, 'abused__113__119': 16, 'informed__37__45': 14, 'get__230__233': 9, 'was__33__36': 8, 'funds__234__239': 8, 'face__69__73': 7, 'for__240__243': 3})",100,9,20,0.6924092906256366,"Counter({'investigation__83__96': 0.9216686847629074, 'campaign__266__274': 0.8942692706089297, 'abused__113__119': 0.8645993648208794, 'informed__37__45': 0.7860338568106943, 'get__230__233': 0.539616645512021, 'was__33__36': 0.4525471821090564, 'face__69__73': 0.433735876128725, 'funds__234__239': 0.415817467431576, 'for__240__243': 0.18885311645687605})",0.647690326268668,"Counter({'investigation__83__96': 0.9, 'campaign__266__274': 0.85, 'abused__113__119': 0.8, 'informed__37__45': 0.7, 'get__230__233': 0.45, 'was__33__36': 0.4, 'funds__234__239': 0.4, 'face__69__73': 0.35, 'for__240__243': 0.15})",funds__234__239,8,0.41581746743157594,0.4,0.0
53.15,informed__37__45###face__69__73###investigation__83__96###abused__113__119###get__230__233###campaign__266__274###was__33__36###for__240__243###funds__234__239,nyt_20130321_sarkozy,"former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france 's richest woman , to get funds for his 2007 presidential campaign .","Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .",0,../../data/pilot_crowd_data/raw_data/f1330064_allpossibleevents_motivation&highlight,"Counter({'investigation__83__96': 18, 'campaign__266__274': 17, 'abused__113__119': 16, 'informed__37__45': 14, 'get__230__233': 9, 'was__33__36': 8, 'funds__234__239': 8, 'face__69__73': 7, 'for__240__243': 3})",100,9,20,0.6924092906256366,"Counter({'investigation__83__96': 0.9216686847629074, 'campaign__266__274': 0.8942692706089297, 'abused__113__119': 0.8645993648208794, 'informed__37__45': 0.7860338568106943, 'get__230__233': 0.539616645512021, 'was__33__36': 0.4525471821090564, 'face__69__73': 0.433735876128725, 'funds__234__239': 0.415817467431576, 'for__240__243': 0.18885311645687605})",0.647690326268668,"Counter({'investigation__83__96': 0.9, 'campaign__266__274': 0.85, 'abused__113__119': 0.8, 'informed__37__45': 0.7, 'get__230__233': 0.45, 'was__33__36': 0.4, 'funds__234__239': 0.4, 'face__69__73': 0.35, 'for__240__243': 0.15})",no_event,0,0.0,0.0,0.0
